区分,薬価基準収載医薬品コード,成分名,規格,Unnamed: 4,Unnamed: 5,Unnamed: 6,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
内用薬,1124005F2027,ハロキサゾラム,１０ｍｇ１錠,,,,ソメリン錠１０ｍｇ,アルフレッサファーマ,,先発品,,15.4,R8.3.31まで,
内用薬,1124007F1011,トリアゾラム,０．１２５ｍｇ１錠,,,,トリアゾラム０．１２５ｍｇ錠,,後発品,,,5.9,,
内用薬,1124007F1020,トリアゾラム,０．１２５ｍｇ１錠,,,,ハルシオン０．１２５ｍｇ錠,ファイザー,,先発品,○,6.1,,
内用薬,1124007F2018,トリアゾラム,０．２５ｍｇ１錠,,,,トリアゾラム０．２５ｍｇ錠,,後発品,,,6.1,,
内用薬,1124007F2026,トリアゾラム,０．２５ｍｇ１錠,,,,ハルシオン０．２５ｍｇ錠,ファイザー,,先発品,○,7.8,,
内用薬,1124008F1016,フルニトラゼパム,１ｍｇ１錠,,,,フルニトラゼパム１ｍｇ錠,,後発品,,,5.9,,
内用薬,1124008F1024,フルニトラゼパム,１ｍｇ１錠,,,,サイレース錠１ｍｇ,エーザイ,,先発品,○,7.4,,
内用薬,1124008F2012,フルニトラゼパム,２ｍｇ１錠,,,,フルニトラゼパム２ｍｇ錠,,後発品,,,6.1,,
内用薬,1124008F2020,フルニトラゼパム,２ｍｇ１錠,,,,サイレース錠２ｍｇ,エーザイ,,先発品,○,8.6,,
内用薬,1124009F1010,ブロチゾラム,０．２５ｍｇ１錠,,,,ブロチゾラム０．２５ｍｇ錠,,後発品,,,10.4,,
内用薬,1124009F1223,ブロチゾラム,０．２５ｍｇ１錠,局,,,レンドルミン錠０．２５ｍｇ,日本ベーリンガーインゲルハイム,,先発品,○,10.6,,
内用薬,1124009F2017,ブロチゾラム,０．２５ｍｇ１錠,,,,ブロチゾラム０．２５ｍｇ口腔内崩壊錠,,後発品,,,10.4,,
内用薬,1124009F2025,ブロチゾラム,０．２５ｍｇ１錠,,,,レンドルミンＤ錠０．２５ｍｇ,日本ベーリンガーインゲルハイム,,先発品,○,10.6,,
内用薬,1124010F1021,ロルメタゼパム,１ｍｇ１錠,,,,エバミール錠１．０,丸石製薬,,先発品,,10.9,,
内用薬,1124010F1030,ロルメタゼパム,１ｍｇ１錠,,,,ロラメット錠１．０,あすか製薬,,先発品,,13.8,,
内用薬,1124013B1031,オキサゾラム,１０％１ｇ,,,,セレナール散１０％,アルフレッサファーマ,,先発品,,24.2,,
内用薬,1124013F1033,オキサゾラム,５ｍｇ１錠,,,,セレナール錠５,アルフレッサファーマ,,先発品,,5.9,,
内用薬,1124013F2064,オキサゾラム,１０ｍｇ１錠,,,,セレナール錠１０,アルフレッサファーマ,,先発品,,6.0,,
内用薬,1124014B1036,クロキサゾラム,１％１ｇ,,,,セパゾン散１％,アルフレッサファーマ,,先発品,,17.4,,
内用薬,1124014F1038,クロキサゾラム,１ｍｇ１錠,,,,セパゾン錠１,アルフレッサファーマ,,先発品,,5.9,,
内用薬,1124014F2034,クロキサゾラム,２ｍｇ１錠,,,,セパゾン錠２,アルフレッサファーマ,,先発品,,6.0,,
内用薬,1124015M2038,クロラゼプ酸二カリウム,７．５ｍｇ１カプセル,局,,,メンドンカプセル７．５ｍｇ,ヴィアトリス製薬,,先発品,,10.4,,
内用薬,1124017B1129,ジアゼパム,１％１ｇ,,,,セルシン散１％,Ｔ’ｓ製薬,,,,9.7,,
内用薬,1124017B1145,ジアゼパム,１％１ｇ,,,,ホリゾン散１％,丸石製薬,,,,11.5,,
内用薬,1124017F2011,ジアゼパム,２ｍｇ１錠,,,,ジアゼパム２ｍｇ錠,,後発品,,,5.9,,
内用薬,1124017F2135,ジアゼパム,２ｍｇ１錠,局,,,２ｍｇセルシン錠,Ｔ’ｓ製薬,,準先発品,○,6.2,,
内用薬,1124017F2151,ジアゼパム,２ｍｇ１錠,局,,,ホリゾン錠２ｍｇ,丸石製薬,,準先発品,○,6.2,,
内用薬,1124017F4014,ジアゼパム,５ｍｇ１錠,,,,ジアゼパム５ｍｇ錠,,後発品,,,6.0,,
内用薬,1124017F4049,ジアゼパム,５ｍｇ１錠,局,,,５ｍｇセルシン錠,Ｔ’ｓ製薬,,準先発品,○,9.7,,
内用薬,1124017F4162,ジアゼパム,５ｍｇ１錠,局,,,ホリゾン錠５ｍｇ,丸石製薬,,準先発品,○,9.7,,
内用薬,1124017F5037,ジアゼパム,１０ｍｇ１錠,局,,,１０ｍｇセルシン錠,Ｔ’ｓ製薬,,準先発品,○,11.3,,
内用薬,1124017F5096,ジアゼパム,１０ｍｇ１錠,局,,,ジアゼパム錠１０ｍｇ「ツルハラ」,鶴原製薬,後発品,,,5.9,,
内用薬,1124020C1045,ブロマゼパム,１％１ｇ,,,,レキソタン細粒１％,サンドファーマ,,先発品,,14.9,,
内用薬,1124020C1061,ブロマゼパム,１％１ｇ,,,,ブロマゼパム細粒１％「サンド」,サンド,★,,,15.5,,
内用薬,1124020F1025,ブロマゼパム,１ｍｇ１錠,,,,レキソタン錠１,サンドファーマ,,先発品,,5.9,,
内用薬,1124020F1041,ブロマゼパム,１ｍｇ１錠,,,,ブロマゼパム錠１ｍｇ「サンド」,サンド,★,,,5.9,,
内用薬,1124020F2030,ブロマゼパム,２ｍｇ１錠,,,,レキソタン錠２,サンドファーマ,,先発品,○,6.1,,
内用薬,1124020F2056,ブロマゼパム,２ｍｇ１錠,,,,ブロマゼパム錠２ｍｇ「サンド」,サンド,後発品,,,5.9,,
内用薬,1124020F3044,ブロマゼパム,３ｍｇ１錠,,,,ブロマゼパム錠３ｍｇ「サンド」,サンド,後発品,,,6.1,,
内用薬,1124020F4016,ブロマゼパム,５ｍｇ１錠,,,,ブロマゼパム５ｍｇ錠,,後発品,,,6.1,,
内用薬,1124020F4032,ブロマゼパム,５ｍｇ１錠,,,,レキソタン錠５,サンドファーマ,,先発品,○,7.0,,
内用薬,1124021F1046,メダゼパム,２ｍｇ１錠,,,,メダゼパム錠２（ツルハラ）,鶴原製薬,★,,,8.3,,
内用薬,1124021F1054,メダゼパム,２ｍｇ１錠,,,,レスミット錠２,共和薬品工業,,先発品,,5.9,,
内用薬,1124021F2123,メダゼパム,５ｍｇ１錠,,,,メダゼパム錠５（ツルハラ）,鶴原製薬,★,,,5.9,,
内用薬,1124021F2166,メダゼパム,５ｍｇ１錠,,,,レスミット錠５,共和薬品工業,,先発品,,5.9,,
内用薬,1124022F1067,ロラゼパム,０．５ｍｇ１錠,,,,ワイパックス錠０．５,ファイザー,,先発品,○,6.1,,
内用薬,1124022F1083,ロラゼパム,０．５ｍｇ１錠,,,,ロラゼパム錠０．５ｍｇ「サワイ」,沢井製薬,後発品,,,5.3,,
内用薬,1124022F2012,ロラゼパム,１ｍｇ１錠,,,,ロラゼパム１ｍｇ錠,,後発品,,,5.9,,
内用薬,1124022F2071,ロラゼパム,１ｍｇ１錠,,,,ワイパックス錠１．０,ファイザー,,先発品,○,6.1,,
内用薬,1124023F1010,アルプラゾラム,０．４ｍｇ１錠,,,,アルプラゾラム０．４ｍｇ錠,,後発品,,,5.9,,
内用薬,1124023F1029,アルプラゾラム,０．４ｍｇ１錠,,,,コンスタン０．４ｍｇ錠,Ｔ’ｓ製薬,,先発品,○,6.1,,
内用薬,1124023F1037,アルプラゾラム,０．４ｍｇ１錠,,,,ソラナックス０．４ｍｇ錠,ヴィアトリス製薬,,先発品,○,6.1,,
内用薬,1124023F2017,アルプラゾラム,０．８ｍｇ１錠,,,,アルプラゾラム０．８ｍｇ錠,,後発品,,,6.1,,
内用薬,1124023F2025,アルプラゾラム,０．８ｍｇ１錠,,,,コンスタン０．８ｍｇ錠,Ｔ’ｓ製薬,,先発品,○,7.7,,
内用薬,1124023F2033,アルプラゾラム,０．８ｍｇ１錠,,,,ソラナックス０．８ｍｇ錠,ヴィアトリス製薬,,先発品,○,7.6,,
内用薬,1124023F2084,アルプラゾラム,０．８ｍｇ１錠,,,,アルプラゾラム錠０．８ｍｇ「アメル」,共和薬品工業,★,,,8.2,,
内用薬,1124025C1030,メキサゾラム,０．１％１ｇ,,,,メレックス細粒０．１％,アルフレッサファーマ,,先発品,,10.8,R8.3.31まで,
内用薬,1124025F1028,メキサゾラム,０．５ｍｇ１錠,,,,メレックス錠０．５ｍｇ,アルフレッサファーマ,,先発品,,6.1,R8.3.31まで,
内用薬,1124025F2024,メキサゾラム,１ｍｇ１錠,,,,メレックス錠１ｍｇ,アルフレッサファーマ,,先発品,,7.9,R8.3.31まで,
内用薬,1124026C1115,トフィソパム,１０％１ｇ,,,,トフィソパム細粒１０％「ツルハラ」,鶴原製薬,後発品,,,10.4,,
内用薬,1124026F1014,トフィソパム,５０ｍｇ１錠,,,,トフィソパム５０ｍｇ錠,,後発品,,,6.1,,
内用薬,1124026F1022,トフィソパム,５０ｍｇ１錠,,,,グランダキシン錠５０,持田製薬,,先発品,○,8.2,,
内用薬,1124028B1011,クロルジアゼポキシド,１％１ｇ,局,,,クロルジアゼポキシド散,,,,,7.7,,
内用薬,1124028B1062,クロルジアゼポキシド,１％１ｇ,局,,,クロルジアゼポキシド散１％「ツルハラ」,鶴原製薬,,,,11.0,,
内用薬,1124028B2018,クロルジアゼポキシド,１０％１ｇ,局,,,クロルジアゼポキシド散,,,,,30.6,,
内用薬,1124028F1013,クロルジアゼポキシド,５ｍｇ１錠,局,,,クロルジアゼポキシド錠,,,,,10.1,,
内用薬,1124028F2010,クロルジアゼポキシド,１０ｍｇ１錠,局,,,クロルジアゼポキシド錠,,,,,10.1,,
内用薬,1124029C1038,ロフラゼプ酸エチル,１％１ｇ,,,,メイラックス細粒１％,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,,先発品,,123.6,,
内用薬,1124029F1018,ロフラゼプ酸エチル,１ｍｇ１錠,,,,ロフラゼプ酸エチル１ｍｇ錠,,後発品,,,6.1,,
内用薬,1124029F1026,ロフラゼプ酸エチル,１ｍｇ１錠,局,,,メイラックス錠１ｍｇ,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,,先発品,○,10.4,,
内用薬,1124029F2014,ロフラゼプ酸エチル,２ｍｇ１錠,,,,ロフラゼプ酸エチル２ｍｇ錠,,後発品,,,9.6,,
内用薬,1124029F2022,ロフラゼプ酸エチル,２ｍｇ１錠,局,,,メイラックス錠２ｍｇ,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,,先発品,○,15.1,,
内用薬,1124030F1010,クアゼパム,１５ｍｇ１錠,,,,クアゼパム１５ｍｇ錠,,後発品,,,21.7,,
内用薬,1124030F1029,クアゼパム,１５ｍｇ１錠,,,,ドラール錠１５,久光製薬,,先発品,○,43.5,,
内用薬,1124030F1037,クアゼパム,１５ｍｇ１錠,,,,クアゼパム錠１５ｍｇ「ＭＮＰ」,日新製薬（山形）,後発品,,,28.0,,
内用薬,1124030F1061,クアゼパム,１５ｍｇ１錠,,,,クアゼパム錠１５ｍｇ「トーワ」,東和薬品,後発品,,,28.0,,
内用薬,1124030F1070,クアゼパム,１５ｍｇ１錠,,,,クアゼパム錠１５ｍｇ「日医工」,日医工,後発品,,,28.0,,
内用薬,1124030F2017,クアゼパム,２０ｍｇ１錠,,,,クアゼパム２０ｍｇ錠,,後発品,,,27.8,,
内用薬,1124030F2025,クアゼパム,２０ｍｇ１錠,,,,ドラール錠２０,久光製薬,,先発品,○,53.6,,
内用薬,1124030F2033,クアゼパム,２０ｍｇ１錠,,,,クアゼパム錠２０ｍｇ「ＭＮＰ」,日新製薬（山形）,後発品,,,32.9,,
内用薬,1124030F2050,クアゼパム,２０ｍｇ１錠,,,,クアゼパム錠２０ｍｇ「トーワ」,東和薬品,後発品,,,32.9,,
内用薬,1124030F2084,クアゼパム,２０ｍｇ１錠,,,,クアゼパム錠２０ｍｇ「日医工」,日医工,後発品,,,32.9,,
内用薬,1124031Q1024,ミダゾラム,０．２％１ｍＬ,,,,ドルミカムシロップ２ｍｇ／ｍＬ,丸石製薬,,先発品,,1117.8,,R7.11.12収載
内用薬,1125001X1017,アモバルビタール,１ｇ,局,,,アモバルビタール,,,,,39.5,,
内用薬,1125002X1011,バルビタール,１ｇ,局,,,バルビタール,,,,,10.0,,
内用薬,1125003B2015,フェノバルビタール,１０％１ｇ,局,,,フェノバルビタール散１０％,,,,,7.5,,
内用薬,1125003B2031,フェノバルビタール,１０％１ｇ,局,,,フェノバール散１０％,藤永製薬,,,,7.7,,
内用薬,1125003X1016,フェノバルビタール,１ｇ,局,,,フェノバルビタール,,,,,46.3,,
内用薬,1125004F1023,フェノバルビタール,３０ｍｇ１錠,局,,,フェノバール錠３０ｍｇ,藤永製薬,,,,10.4,,
内用薬,1125004S1030,フェノバルビタール,０．４％１ｍＬ,,,,フェノバールエリキシル０．４％,藤永製薬,,,,2.5,,
内用薬,1125006F1030,ペントバルビタールカルシウム,５０ｍｇ１錠,局,,,ラボナ錠５０ｍｇ,田辺ファーマ,,,,9.2,,
内用薬,1126001X1014,臭化カリウム,１０ｇ,局,,,臭化カリウム,,,,,82.6,,
内用薬,1126002X1019,臭化ナトリウム,１０ｇ,局,,,臭化ナトリウム,,,,,83.5,,
内用薬,1129004Q1031,トリクロホスナトリウム,１０％１ｍＬ,局,,,トリクロリールシロップ１０％,アルフレッサファーマ,,,,10.5,,
内用薬,1129006F1021,リルマザホン塩酸塩水和物,１ｍｇ１錠,局,,,リスミー錠１ｍｇ,共和薬品工業,,先発品,,10.4,,
内用薬,1129006F2028,リルマザホン塩酸塩水和物,２ｍｇ１錠,局,,,リスミー錠２ｍｇ,共和薬品工業,,先発品,,16.2,,
内用薬,1129007F1018,ゾピクロン,７．５ｍｇ１錠,,,,ゾピクロン７．５ｍｇ錠,,後発品,,,6.7,,
内用薬,1129007F1026,ゾピクロン,７．５ｍｇ１錠,局,,,アモバン錠７．５,サノフィ,,先発品,○,11.8,,
内用薬,1129007F2014,ゾピクロン,１０ｍｇ１錠,,,,ゾピクロン１０ｍｇ錠,,後発品,,,7.5,,
内用薬,1129007F2022,ゾピクロン,１０ｍｇ１錠,局,,,アモバン錠１０,サノフィ,,先発品,○,12.9,,
内用薬,1129008F1012,タンドスピロンクエン酸塩,５ｍｇ１錠,,,,タンドスピロンクエン酸塩５ｍｇ錠,,後発品,,,6.1,,
内用薬,1129008F1039,タンドスピロンクエン酸塩,５ｍｇ１錠,,,,セディール錠５ｍｇ,住友ファーマ,,先発品,○,8.6,,
内用薬,1129008F2019,タンドスピロンクエン酸塩,１０ｍｇ１錠,,,,タンドスピロンクエン酸塩１０ｍｇ錠,,後発品,,,9.3,,
内用薬,1129008F2035,タンドスピロンクエン酸塩,１０ｍｇ１錠,,,,セディール錠１０ｍｇ,住友ファーマ,,先発品,○,15.5,,
内用薬,1129008F3015,タンドスピロンクエン酸塩,２０ｍｇ１錠,,,,タンドスピロンクエン酸塩２０ｍｇ錠,,後発品,,,18.0,,
内用薬,1129008F3023,タンドスピロンクエン酸塩,２０ｍｇ１錠,,,,セディール錠２０ｍｇ,住友ファーマ,,先発品,○,25.8,,
内用薬,1129009F1017,ゾルピデム酒石酸塩,５ｍｇ１錠,,,,ゾルピデム酒石酸塩５ｍｇ錠,,後発品,,,10.4,,
内用薬,1129009F1025,ゾルピデム酒石酸塩,５ｍｇ１錠,局,,,マイスリー錠５ｍｇ,アステラス製薬,,先発品,○,17.5,,
内用薬,1129009F1297,ゾルピデム酒石酸塩,５ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠５ｍｇ「日医工」,日医工,後発品,,,10.6,,
内用薬,1129009F2013,ゾルピデム酒石酸塩,１０ｍｇ１錠,,,,ゾルピデム酒石酸塩１０ｍｇ錠,,後発品,,,10.4,,
内用薬,1129009F2021,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,マイスリー錠１０ｍｇ,アステラス製薬,,先発品,○,26.9,,
内用薬,1129009F2048,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＡＦＰ」,アルフレッサファーマ,後発品,,,15.0,,
内用薬,1129009F2064,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＤＳＥＰ」,第一三共エスファ,後発品,,,11.2,,
内用薬,1129009F2110,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＪＧ」,日本ジェネリック,後発品,,,14.2,,
内用薬,1129009F2161,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,12.3,,
内用薬,1129009F2170,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＹＤ」,陽進堂,後発品,,,11.2,,
内用薬,1129009F2188,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＺＥ」,全星薬品工業,後発品,,,12.3,,
内用薬,1129009F2218,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「オーハラ」,大原薬品工業,後発品,,,11.2,,
内用薬,1129009F2234,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ケミファ」,日本ケミファ,後発品,,,15.0,,
内用薬,1129009F2242,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「サワイ」,沢井製薬,後発品,,,11.2,,
内用薬,1129009F2269,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「タカタ」,高田製薬,後発品,,,12.3,R8.3.31まで,
内用薬,1129009F2285,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「トーワ」,東和薬品,後発品,,,14.2,,
内用薬,1129009F2293,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「日医工」,日医工,後発品,,,15.0,,
内用薬,1129009F2307,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「日新」,日新製薬（山形）,後発品,,,11.2,,
内用薬,1129009F2331,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,13.6,R8.3.31まで,
内用薬,1129009F2358,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＫＭＰ」,共創未来ファーマ,後発品,,,12.3,,
内用薬,1129009F2366,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＮＰＩ」,東洋カプセル,後発品,,,15.0,,
内用薬,1129009F2374,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＮＩＧ」,日医工岐阜工場,後発品,,,13.6,,
内用薬,1129009F3010,ゾルピデム酒石酸塩,５ｍｇ１錠,,,,ゾルピデム酒石酸塩５ｍｇ口腔内崩壊錠,,後発品,,,10.4,,
内用薬,1129009F3079,ゾルピデム酒石酸塩,５ｍｇ１錠,,,,ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「日医工」,日医工,後発品,,,10.6,,
内用薬,1129009F4040,ゾルピデム酒石酸塩,１０ｍｇ１錠,,,,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「サワイ」,沢井製薬,後発品,,,11.2,,
内用薬,1129009F4059,ゾルピデム酒石酸塩,１０ｍｇ１錠,,,,ゾルピデム酒石酸塩ＯＤフィルム１０ｍｇ「モチダ」,救急薬品工業,後発品,,,22.2,,
内用薬,1129009F4067,ゾルピデム酒石酸塩,１０ｍｇ１錠,,,,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「トーワ」,東和薬品,後発品,,,14.2,,
内用薬,1129009F4075,ゾルピデム酒石酸塩,１０ｍｇ１錠,,,,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「日医工」,日医工,後発品,,,15.0,,
内用薬,1129009S1023,ゾルピデム酒石酸塩,５ｍｇ１ｍＬ１包,,,,ゾルピデム酒石酸塩内用液５ｍｇ「タカタ」,高田製薬,後発品,,,29.3,,
内用薬,1129009S2020,ゾルピデム酒石酸塩,１０ｍｇ２ｍＬ１包,,,,ゾルピデム酒石酸塩内用液１０ｍｇ「タカタ」,高田製薬,後発品,,,40.4,,
内用薬,1129010F1010,エスゾピクロン,１ｍｇ１錠,,,,エスゾピクロン１ｍｇ錠,,後発品,,,7.7,,
内用薬,1129010F1028,エスゾピクロン,１ｍｇ１錠,,,,ルネスタ錠１ｍｇ,エーザイ,,先発品,○,28.5,,
内用薬,1129010F1044,エスゾピクロン,１ｍｇ１錠,,,,エスゾピクロン錠１ｍｇ「ＫＭＰ」,共創未来ファーマ,後発品,,,9.5,,
内用薬,1129010F1052,エスゾピクロン,１ｍｇ１錠,,,,エスゾピクロン錠１ｍｇ「ＮＰＩ」,日本薬品工業,後発品,,,9.2,,
内用薬,1129010F1079,エスゾピクロン,１ｍｇ１錠,,,,エスゾピクロン錠１ｍｇ「ＹＤ」,陽進堂,後発品,,,9.5,,
内用薬,1129010F1150,エスゾピクロン,１ｍｇ１錠,,,,エスゾピクロン錠１ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,9.2,,
内用薬,1129010F2016,エスゾピクロン,２ｍｇ１錠,,,,エスゾピクロン２ｍｇ錠,,後発品,,,12.5,,
内用薬,1129010F2024,エスゾピクロン,２ｍｇ１錠,,,,ルネスタ錠２ｍｇ,エーザイ,,先発品,○,46.6,,
内用薬,1129010F2040,エスゾピクロン,２ｍｇ１錠,,,,エスゾピクロン錠２ｍｇ「ＫＭＰ」,共創未来ファーマ,後発品,,,15.9,,
内用薬,1129010F2059,エスゾピクロン,２ｍｇ１錠,,,,エスゾピクロン錠２ｍｇ「ＮＰＩ」,日本薬品工業,後発品,,,15.0,,
内用薬,1129010F2156,エスゾピクロン,２ｍｇ１錠,,,,エスゾピクロン錠２ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,15.0,,
内用薬,1129010F3012,エスゾピクロン,３ｍｇ１錠,,,,エスゾピクロン３ｍｇ錠,,後発品,,,14.6,,
内用薬,1129010F3020,エスゾピクロン,３ｍｇ１錠,,,,ルネスタ錠３ｍｇ,エーザイ,,先発品,○,54.7,,
内用薬,1129010F3047,エスゾピクロン,３ｍｇ１錠,,,,エスゾピクロン錠３ｍｇ「ＫＭＰ」,共創未来ファーマ,後発品,,,20.2,,
内用薬,1129010F3055,エスゾピクロン,３ｍｇ１錠,,,,エスゾピクロン錠３ｍｇ「ＮＰＩ」,日本薬品工業,後発品,,,18.5,,
内用薬,1129010F3071,エスゾピクロン,３ｍｇ１錠,,,,エスゾピクロン錠３ｍｇ「ＹＤ」,陽進堂,後発品,,,21.4,,
内用薬,1129010F3080,エスゾピクロン,３ｍｇ１錠,,,,エスゾピクロン錠３ｍｇ「アメル」,共和薬品工業,後発品,,,18.5,,
内用薬,1129010F3098,エスゾピクロン,３ｍｇ１錠,,,,エスゾピクロン錠３ｍｇ「杏林」,キョーリンリメディオ,後発品,,,18.5,,
内用薬,1129010F3128,エスゾピクロン,３ｍｇ１錠,,,,エスゾピクロン錠３ｍｇ「トーワ」,東和薬品,後発品,,,18.5,,
内用薬,1129010F3136,エスゾピクロン,３ｍｇ１錠,,,,エスゾピクロン錠３ｍｇ「日新」,日新製薬（山形）,後発品,,,18.5,,
内用薬,1129010F3152,エスゾピクロン,３ｍｇ１錠,,,,エスゾピクロン錠３ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,18.5,,
内用薬,1131001A1038,アセチルフェネトライド,１ｇ,,,,クランポール末,住友ファーマ,,,,126.6,,
内用薬,1131001F1035,アセチルフェネトライド,２００ｍｇ１錠,,,,クランポール錠２００ｍｇ,住友ファーマ,,,,42.9,,
内用薬,1132001A1035,エトトイン,１ｇ,,,,アクセノン末,住友ファーマ,,,,201.2,,
内用薬,1132002B1019,フェニトイン,１０％１ｇ,局,,,フェニトイン散,,,,,12.1,,
内用薬,1132002F1010,フェニトイン,２５ｍｇ１錠,局,,,フェニトイン錠,,,,,11.9,,
